SamplePointID,t551_CreatedByWhom,year,BioRegion,Tenure,CrownDamage,t500_VicGridXGIS,t500_VicGridYGIS
PE2220N2490,andrewclark,2018,MURRAY DARLING DEPRESSION,STATE FOREST,15.833333333333334,2220000.0,2490000.0
PE2220N2540,andrewclark,2019,MURRAY DARLING DEPRESSION,PARK/RESERVE,21.666666666666668,2220000.0,2540000.0
PE2224N2372,andrewclark,2017,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,9.375,2224000.0,2372000.0
PE2228N2376,andrewclark,2019,VICTORIAN VOLCANIC PLAIN,PARK/RESERVE,17.77777777777778,2228000.0,2376000.0
PE2240N2468,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,17.5,2240000.0,2468000.0
PE2240N2480,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,10.0,2240000.0,2480000.0
PE2240N2660,andrewclark,2016,MURRAY DARLING DEPRESSION,PARK/RESERVE,14.0,2240000.0,2660000.0
PE2248N2460,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,30.0,2248000.0,2460000.0
PE2248N2468,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,12.5,2248000.0,2468000.0
PE2248N2796,andrewclark,2018,RIVERINA,PARK/RESERVE,10.0,2248000.0,2796000.0
PE2256N2476,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,17.142857142857142,2256000.0,2476000.0
PE2256N2748,andrewclark,2018,RIVERINA,PARK/RESERVE,15.0,2256000.0,2748000.0
PE2258N2766,andrewclark,2017,RIVERINA,PARK/RESERVE,10.0,2258000.0,2766000.0
PE2260N2470,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,13.333333333333334,2260000.0,2470000.0
PE2264N2756,andrewclark,2018,RIVERINA,PARK/RESERVE,10.0,2264000.0,2756000.0
PE2264N2760,andrewclark,2017,RIVERINA,PARK/RESERVE,12.0,2264000.0,2760000.0
PE2270N2460,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,16.25,2270000.0,2460000.0
PE2270N2480,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,13.75,2270000.0,2480000.0
PE2270N2510,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,13.125,2270000.0,2510000.0
PE2280N2450,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,20.625,2280000.0,2450000.0
PE2280N2460,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,10.0,2280000.0,2460000.0
PE2280N2500,andrewclark,2019,MURRAY DARLING DEPRESSION,STATE FOREST,34.0,2280000.0,2500000.0
PE2288N2748,andrewclark,2017,RIVERINA,PARK/RESERVE,12.5,2288000.0,2748000.0
PE2290N2460,andrewclark,2016,VICTORIAN MIDLANDS,PARK/RESERVE,0.0,2290000.0,2460000.0
PE2328N2752,andrewclark,2017,RIVERINA,PARK/RESERVE,11.875,2328000.0,2752000.0
PE2336N2500,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,23.125,2336000.0,2500000.0
PE2344N2492,andrewclark,2016,VICTORIAN MIDLANDS,STATE FOREST,23.636363636363637,2344000.0,2492000.0
PE2352N2316,andrewclark,2018,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,20.0,2352000.0,2316000.0
PE2352N2324,andrewclark,2019,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,12.142857142857142,2352000.0,2324000.0
PE2352N2468,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,13.75,2352000.0,2468000.0
PE2352N2492,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,13.75,2352000.0,2492000.0
PE2360N2332,andrewclark,2017,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,10.0,2360000.0,2332000.0
PE2360N2340,andrewclark,2018,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,14.375,2360000.0,2340000.0
PE2360N2468,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,16.875,2360000.0,2468000.0
PE2360N2520,andrewclark,2017,VICTORIAN MIDLANDS,PARK/RESERVE,20.0,2360000.0,2520000.0
PE2368N2324,andrewclark,2020,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,21.25,2368000.0,2324000.0
PE2368N2492,andrewclark,2021,VICTORIAN MIDLANDS,STATE FOREST,59.375,2368000.0,2492000.0
PE2376N2476,andrewclark,2016,VICTORIAN MIDLANDS,STATE FOREST,20.0,2376000.0,2476000.0
PE2376N2484,andrewclark,2017,VICTORIAN MIDLANDS,STATE FOREST,20.625,2376000.0,2484000.0
PE2376N2524,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,22.77777777777778,2376000.0,2524000.0
PE2380N2480,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,11.25,2380000.0,2480000.0
PE2380N2540,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,18.125,2380000.0,2540000.0
PE2380N2550,andrewclark,2021,VICTORIAN MIDLANDS,PARK/RESERVE,4.285714285714286,2380000.0,2550000.0
PE2380N2570,andrewclark,2016,VICTORIAN MIDLANDS,PARK/RESERVE,7.5,2380000.0,2570000.0
PE2384N2316,andrewclark,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,13.0,2384000.0,2316000.0
PE2384N2484,andrewclark,2020,VICTORIAN MIDLANDS,STATE FOREST,10.0,2384000.0,2484000.0
PE2384N2516,andrewclark,2021,VICTORIAN MIDLANDS,STATE FOREST,17.916666666666668,2384000.0,2516000.0
PE2384N2532,andrewclark,2017,VICTORIAN MIDLANDS,STATE FOREST,11.666666666666666,2384000.0,2532000.0
PE2392N2332,andrewclark,2017,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,14.375,2392000.0,2332000.0
PE2392N2620,andrewclark,2018,RIVERINA,PARK/RESERVE,11.25,2392000.0,2620000.0
PE2396N2316,andrewclark,2020,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,10.625,2396000.0,2316000.0
PE2400N2548,andrewclark,2021,VICTORIAN MIDLANDS,STATE FOREST,11.428571428571429,2400000.0,2548000.0
PE2408N2328,andrewclark,2017,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,16.666666666666668,2408000.0,2328000.0
PE2408N2340,andrewclark,2018,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,13.125,2408000.0,2340000.0
PE2414N2382,andrewclark,2019,VICTORIAN VOLCANIC PLAIN,PARK/RESERVE,11.666666666666666,2414000.0,2382000.0
PE2416N2348,andrewclark,2018,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,17.5,2416000.0,2348000.0
PE2416N2492,andrewclark,2020,VICTORIAN MIDLANDS,STATE FOREST,23.75,2416000.0,2492000.0
PE2418N2420,andrewclark,2018,VICTORIAN VOLCANIC PLAIN,STATE FOREST,14.375,2418000.0,2420000.0
PE2418N2654,charleschikono,2020,RIVERINA,STATE FOREST,53.333333333333336,2418000.0,2654000.0
PE2422N2648,andrewclark,2018,RIVERINA,STATE FOREST,11.875,2422000.0,2648000.0
PE2424N2348,andrewclark,2019,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,25.0,2424000.0,2348000.0
PE2424N2418,andrewclark,2019,VICTORIAN VOLCANIC PLAIN,STATE FOREST,11.875,2424000.0,2418000.0
PE2424N2646,andrewclark,2018,RIVERINA,STATE FOREST,12.857142857142858,2424000.0,2646000.0
PE2426N2644,charleschikono,2020,RIVERINA,STATE FOREST,13.75,2426000.0,2644000.0
PE2428N2642,andrewclark,2018,RIVERINA,STATE FOREST,11.0,2428000.0,2642000.0
PE2428N2644,andrewclark,2019,RIVERINA,STATE FOREST,10.625,2428000.0,2644000.0
PE2430N2410,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,16.25,2430000.0,2410000.0
PE2430N2520,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,11.875,2430000.0,2520000.0
PE2430N2638,andrewclark,2018,RIVERINA,STATE FOREST,10.0,2430000.0,2638000.0
PE2430N2640,charleschikono,2020,RIVERINA,STATE FOREST,43.18181818181818,2430000.0,2640000.0
PE2432N2452,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,11.875,2432000.0,2452000.0
PE2432N2460,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,13.125,2432000.0,2460000.0
PE2432N2636,andrewclark,2020,RIVERINA,STATE FOREST,18.571428571428573,2432000.0,2636000.0
PE2432N2636,charleschikono,2020,RIVERINA,STATE FOREST,18.571428571428573,2432000.0,2636000.0
PE2434N2636,andrewclark,2018,RIVERINA,STATE FOREST,15.0,2434000.0,2636000.0
PE2436N2636,andrewclark,2017,RIVERINA,STATE FOREST,12.5,2436000.0,2636000.0
PE2438N2634,andrewclark,2018,RIVERINA,STATE FOREST,11.25,2438000.0,2634000.0
PE2438N2636,charleschikono,2020,RIVERINA,STATE FOREST,14.0,2438000.0,2636000.0
