bioregion,gridcode,label,local_area,local_area_pct,sum_area
RIVERINA,3,Parks & Reserves,65722.39662148038,0.5323576157529527,123455.35158452526
RIVERINA,4,Parks & Reserves,5865.300191026159,0.047509485135688166,123455.35158452526
RIVERINA,5,Parks & Reserves,25364.03053458706,0.20545104127965855,123455.35158452526
RIVERINA,1,Private,739.61092681016,0.6631513645196057,1115.2973007089302
RIVERINA,2,Private,157.88011994733,0.14155877526734326,1115.2973007089302
RIVERINA,3,Private,205.65053255445002,0.18439077403283397,1115.2973007089302
RIVERINA,4,Private,4.50769615681,0.004041699154068352,1115.2973007089302
RIVERINA,5,Private,7.64802524018,0.006857387026148625,1115.2973007089302
RIVERINA,1,State Forest,51.36944615711,0.00458235697132596,11210.26722242585
RIVERINA,2,State Forest,257.20610255951,0.022943797632671577,11210.26722242585
RIVERINA,3,State Forest,5011.40922179873,0.44703744543872564,11210.26722242585
RIVERINA,4,State Forest,411.25843253736,0.03668587236838103,11210.26722242585
RIVERINA,5,State Forest,5479.0240193731415,0.488750527588896,11210.26722242585
RIVERINA,1,Other Crown Land,8054.072749173811,0.702771487440144,11460.44324949906
RIVERINA,2,Other Crown Land,1728.91589637115,0.1508594265275666,11460.44324949906
RIVERINA,3,Other Crown Land,1561.62038657944,0.1362617791111787,11460.44324949906
RIVERINA,4,Other Crown Land,44.610112914150015,0.0038925294548358713,11460.44324949906
RIVERINA,5,Other Crown Land,71.22410446051,0.006214777466274983,11460.44324949906
NSW SOUTH WESTERN SLOPES,1,Parks & Reserves,1012.22652034832,0.01585920613442393,63825.80009166947
NSW SOUTH WESTERN SLOPES,2,Parks & Reserves,2676.0960491670703,0.04192812382020345,63825.80009166947
NSW SOUTH WESTERN SLOPES,3,Parks & Reserves,29918.16655749059,0.46874722313736417,63825.80009166947
NSW SOUTH WESTERN SLOPES,4,Parks & Reserves,1581.85661126474,0.024783968379445406,63825.80009166947
NSW SOUTH WESTERN SLOPES,5,Parks & Reserves,28637.45435339875,0.448681478528563,63825.80009166947
NSW SOUTH WESTERN SLOPES,1,Private,92.86497647918,0.30081617575636643,308.71004940370005
NSW SOUTH WESTERN SLOPES,2,Private,63.89365512814,0.20696979334348226,308.71004940370005
NSW SOUTH WESTERN SLOPES,3,Private,130.04742582705,0.42126074638077954,308.71004940370005
NSW SOUTH WESTERN SLOPES,4,Private,2.91369071895,0.009438276222552663,308.71004940370005
NSW SOUTH WESTERN SLOPES,5,Private,18.99030125038,0.06151500829681896,308.71004940370005
NSW SOUTH WESTERN SLOPES,1,State Forest,242.10973421427,0.005212963075155845,46443.78460459974
NSW SOUTH WESTERN SLOPES,2,State Forest,1855.2498201969102,0.03994613780921653,46443.78460459974
NSW SOUTH WESTERN SLOPES,3,State Forest,18158.76156347103,0.39098367452321287,46443.78460459974
NSW SOUTH WESTERN SLOPES,4,State Forest,280.09080388257,0.006030748920811034,46443.78460459974
NSW SOUTH WESTERN SLOPES,5,State Forest,25907.57268283496,0.5578264756716037,46443.78460459974
NSW SOUTH WESTERN SLOPES,1,Other Crown Land,989.00866662507,0.40059517224722285,2468.84819174684
NSW SOUTH WESTERN SLOPES,2,Other Crown Land,565.63405051822,0.2291084775520378,2468.84819174684
NSW SOUTH WESTERN SLOPES,3,Other Crown Land,789.98193255417,0.3199799546991248,2468.84819174684
NSW SOUTH WESTERN SLOPES,4,Other Crown Land,24.937550888659995,0.010100884684616987,2468.84819174684
NSW SOUTH WESTERN SLOPES,5,Other Crown Land,99.28599116071999,0.0402155108169976,2468.84819174684
FLINDERS,1,Parks & Reserves,1246.0285210003003,0.04721348021632567,26391.37202534465
FLINDERS,2,Parks & Reserves,2239.0006983778503,0.08483835915115182,26391.37202534465
FLINDERS,3,Parks & Reserves,13245.390427364247,0.5018833584947455,26391.37202534465
FLINDERS,4,Parks & Reserves,691.83109153225,0.02621429044567512,26391.37202534465
FLINDERS,5,Parks & Reserves,8969.12128707,0.3398505116921018,26391.37202534465
FLINDERS,1,Private,0.0,0.0,0.00135466694
FLINDERS,2,Private,0.00135466694,1.0,0.00135466694
FLINDERS,3,Private,0.0,0.0,0.00135466694
FLINDERS,4,Private,0.0,0.0,0.00135466694
FLINDERS,5,Private,0.0,0.0,0.00135466694
FLINDERS,1,State Forest,0.0,nan,0.0
FLINDERS,2,State Forest,0.0,nan,0.0
FLINDERS,3,State Forest,0.0,nan,0.0
FLINDERS,4,State Forest,0.0,nan,0.0
FLINDERS,5,State Forest,0.0,nan,0.0
FLINDERS,1,Other Crown Land,0.0,nan,0.0
FLINDERS,2,Other Crown Land,0.0,nan,0.0
FLINDERS,3,Other Crown Land,0.0,nan,0.0
FLINDERS,4,Other Crown Land,0.0,nan,0.0
FLINDERS,5,Other Crown Land,0.0,nan,0.0
AUSTRALIAN ALPS,1,Parks & Reserves,948.44799638135,0.0026866051818305635,353028.4251648428
AUSTRALIAN ALPS,2,Parks & Reserves,2329.94053016946,0.006599866651195352,353028.4251648428
AUSTRALIAN ALPS,3,Parks & Reserves,58860.60177842842,0.1667304884895433,353028.4251648428
AUSTRALIAN ALPS,4,Parks & Reserves,6205.891426778509,0.01757901342896322,353028.4251648428
AUSTRALIAN ALPS,5,Parks & Reserves,284683.5434330851,0.8064040262484676,353028.4251648428
AUSTRALIAN ALPS,1,Private,0.13560874614,0.0011823066889164891,114.69845126586998
AUSTRALIAN ALPS,2,Private,0.95828412168,0.008354813086871644,114.69845126586998
AUSTRALIAN ALPS,3,Private,20.962320323410005,0.18276027350028934,114.69845126586998
AUSTRALIAN ALPS,4,Private,2.4447401649499994,0.02131450022183049,114.69845126586998
AUSTRALIAN ALPS,5,Private,90.19749790968999,0.7863881065020921,114.69845126586998
AUSTRALIAN ALPS,1,State Forest,4.2769750661299994,1.2728308817945067e-05,336020.6864324415
AUSTRALIAN ALPS,2,State Forest,79.70714108003,0.00023720902997457414,336020.6864324415
AUSTRALIAN ALPS,3,State Forest,18221.437038582742,0.05422712878793623,336020.6864324415
AUSTRALIAN ALPS,4,State Forest,2033.2961943306998,0.006051104221940524,336020.6864324415
